100
1 3 5 e
1 5 6 e
0 1 6 e
3 5 6 e
0 3 6 e
1 6 14 e
1 5 14 e
1 6 7 e
3 5 14 e
0 1 5 e
3 6 14 e
1 2 3 e
0 3 5 e
0 1 14 e
1 6 13 e
1 3 12 e
0 3 14 e
3 6 12 e
1 6 12 e
1 5 7 e
3 6 7 e
0 5 6 e
1 12 14 e
1 6 8 e
1 5 11 e
3 6 13 e
3 5 11 e
1 7 14 e
3 5 12 e
1 5 13 e
1 5 12 e
0 5 14 e
3 5 7 e
1 2 5 e
1 2 6 e
0 6 14 e
3 12 14 e
1 2 14 e
1 4 14 e
2 3 5 e
5 6 7 e
5 6 14 e
2 3 6 e
1 5 8 e
1 8 14 e
0 1 2 e
5 6 12 e
1 4 5 e
3 6 8 e
0 6 7 e
0 2 3 e
2 3 14 e
3 5 13 e
3 4 5 e
1 13 14 e
1 3 8 e
6 7 14 e
0 1 4 e
5 7 14 e
3 7 14 e
0 1 7 e
3 13 14 e
0 1 12 e
0 1 13 e
1 2 7 e
3 4 14 e
0 6 12 e
0 3 12 e
0 3 4 e
3 5 8 e
5 6 8 e
0 7 14 e
6 12 14 e
0 1 8 e
0 6 8 e
1 4 6 e
0 5 7 e
0 6 13 e
1 5 9 e
0 12 14 e
5 6 13 e
2 3 12 e
3 11 12 e
1 2 12 e
0 3 7 e
0 3 13 e
3 4 6 e
1 11 12 e
1 2 13 e
6 8 14 e
5 8 14 e
1 7 12 e
3 6 9 e
3 8 14 e
2 3 7 e
6 13 14 e
1 2 11 e
0 2 14 e
1 2 8 e
2 3 11 e
